     13.98      12.50      18.83
     13.97      12.50      18.83
     14.01      12.50      18.84
     10.18      12.50      18.84
      8.27      12.50      18.85
      4.40      12.50      18.85
      0.50      25.00      37.23
      0.50      12.50      18.88
      0.50      25.00      37.27
      0.50      25.00      37.29
      0.50      25.00      37.30
      0.50      25.00      37.29
      0.50      25.00      37.30
      0.50      12.50      18.90
      0.50      12.50      18.90
      0.50      12.50      18.91
      0.50      12.50      18.91
      0.50       0.00       0.50
      0.50       0.00       0.50
      0.50      12.50      18.90
      0.50      25.00      37.28
      0.50      25.00      37.29
      0.50      25.00      37.29
      0.50      25.00      37.29
      0.50      25.00      37.30
      0.50      25.00      37.31
      0.50      12.50      18.90
      0.50      12.50      18.91
      0.50      12.50      18.91
      0.50       0.00       0.50
      0.50      25.00      37.33
      0.50      12.50      18.91
      0.50      12.50      18.91
      0.50       0.00       0.50
      0.50      12.50      18.90
      0.50      12.50      18.91
      0.50      12.50      18.93
      0.50       0.00       0.50
      0.50      12.50      18.95
     35.62      37.50      55.89
     84.96      87.50     129.65
    111.85     112.50     166.54
     51.50      50.00      74.25
     10.72      12.50      18.95
     92.93     100.00     148.04
    247.58     237.50     350.26
    400.02     375.00     551.68
    353.20     325.00     477.78
    394.12     362.50     532.21
    351.52     312.50     458.67
    348.48     325.00     476.79
    349.74     312.50     458.42
    291.80     262.50     384.90
    227.53     187.50     274.98
    226.82     187.50     274.89
    155.48     125.00     183.25
    134.26     112.50     164.94
    168.89     125.00     183.27
    144.95     112.50     164.87
    217.46     175.00     256.66
    285.28     250.00     367.08
    436.75     400.00     587.15
    535.57     525.00     770.14
    620.97     625.00     916.14
    683.25     687.50    1007.49
    655.70     675.00     989.40
    482.50     462.50     678.74
    366.06     337.50     495.33
    239.61     212.50     311.85
    213.02     187.50     275.10
    212.36     175.00     256.74
    202.94     175.00     256.77
    175.77     150.00     220.18
    133.39     112.50     165.32
    130.21     112.50     165.41
    140.47     112.50     165.48
    184.36     162.50     238.85
    200.42     175.00     257.22
    206.09     175.00     257.19
    153.92     112.50     165.46
    139.89     112.50     165.41
    205.50     175.00     256.85
    198.67     162.50     238.44
    334.87     300.00     439.72
    366.92     337.50     495.16
    338.12     312.50     459.02
    327.84     287.50     422.66
    278.78     250.00     367.83
    279.61     262.50     386.29
    270.38     237.50     349.73
    220.03     200.00     294.69
    213.77     187.50     276.30
    264.60     237.50     349.77
    323.70     287.50     423.21
    316.38     287.50     423.03
    262.76     237.50     349.51
    249.24     225.00     331.24
    247.48     212.50     312.94
    349.96     325.00     478.19
    297.44     275.00     404.88
    198.26     175.00     258.03
    309.06     287.50     423.44
    292.53     262.50     386.70
    276.85     250.00     368.43
    365.30     337.50     496.99
    379.20     362.50     533.60
    354.42     312.50     460.22
    334.40     312.50     460.27
    371.55     350.00     515.66
    395.87     387.50     571.29
    485.38     487.50     718.75
    515.98     525.00     774.33
    509.01     512.50     756.23
    512.57     512.50     756.48
    427.21     425.00     627.41
    414.59     412.50     609.04
    412.49     412.50     609.04
    416.30     425.00     627.34
    479.47     475.00     701.16
    452.86     450.00     664.21
    445.70     450.00     664.07
    434.79     425.00     627.27
    411.32     412.50     608.84
    340.19     337.50     498.23
    301.52     287.50     424.49
    371.81     375.00     553.42
    262.58     262.50     387.79
    171.55     175.00     258.97
    220.77     212.50     314.12
    200.51     200.00     295.45
    116.89     125.00     184.77
     59.49      75.00     111.06
    130.91     137.50     203.48
    208.40     212.50     314.50
    245.26     250.00     369.99
    246.19     237.50     351.70
    231.84     225.00     333.69
    281.30     275.00     407.95
    221.33     212.50     315.24
    106.30     100.00     148.53
    144.93     150.00     222.55
    110.22     112.50     166.97
    165.86     162.50     240.98
    257.78     262.50     389.13
    128.90     125.00     185.74
     45.02      62.50      93.07
    118.32     112.50     166.91
    120.20     125.00     185.34
     36.03      50.00      74.45
     15.10      25.00      37.47
    174.63     175.00     259.14
     94.37     100.00     148.30
     15.03      25.00      37.45
      0.50      12.50      18.97
      0.50      12.50      18.98
      0.50      12.50      18.97
      0.50      12.50      18.97
      0.50      12.50      18.97
      0.50      12.50      18.97
      2.58      12.50      18.98
     15.05      25.00      37.46
     17.14      37.50      55.94
     42.18      50.00      74.42
     48.39      50.00      74.41
      6.73      25.00      37.46
      4.66      25.00      37.46
      6.73      12.50      18.98
      0.50      12.50      18.98
      0.50      12.50      18.98
      0.50      12.50      18.98
      0.50      12.50      18.98
      0.50      12.50      18.98
      0.50      12.50      18.98
      0.50      12.50      18.98
      0.50      12.50      18.98
      0.50      12.50      18.97
      0.50       0.00       0.50
      0.50      12.50      18.97
      0.50      12.50      18.97
      0.50       0.00       0.50
      0.50       0.00       0.50
      2.59      12.50      18.99
     98.82     100.00     148.34
    149.32     150.00     222.22
    248.54     237.50     351.40
    223.10     225.00     332.93
    188.96     187.50     277.53
    144.71     150.00     222.14
    106.78     112.50     166.73
     85.78     100.00     148.25
     62.84      75.00     111.32
     41.98      50.00      74.38
      4.64      12.50      18.97
      0.50      12.50      18.97
      0.50       0.00       0.50
      0.50      12.50      18.97
      0.50      12.50      18.95
      2.54      12.50      18.94
     10.61      25.00      37.35
     20.66      37.50      55.74
     32.72      50.00      74.14
     32.66      50.00      74.13
     34.64      50.00      74.12
     24.62      50.00      74.13
     10.57      25.00      37.33
      4.53      12.50      18.92
      0.50      12.50      18.92
      0.50      12.50      18.92
      0.50      12.50      18.91
      0.50      12.50      18.91
      0.50      12.50      18.92
      0.50      12.50      18.91
      0.50      12.50      18.91
      0.50       0.00       0.50
      0.50      12.50      18.91
     12.43       0.00       0.50
     28.19      12.50      18.88
     12.38      12.50      18.89
      0.50      25.00      37.27
      2.46      25.00      37.25
      8.32      12.50      18.86
     23.92      12.50      18.85
     43.40      25.00      37.20
     51.20      25.00      37.20
     43.36      25.00      37.20
     58.82      25.00      37.19
    117.26     100.00     147.18
    185.56     150.00     220.45
    203.92     175.00     257.16
    227.86     187.50     275.52
    285.57     250.00     367.12
    319.96     287.50     422.11
    308.76     275.00     403.91
    319.28     275.00     404.00
    213.04     175.00     257.33
    121.33      87.50     128.66
     95.70      75.00     110.28
     98.99      75.00     110.22
    139.93     112.50     165.17
    265.16     237.50     348.45
    289.99     262.50     385.20
    274.05     237.50     348.86
    311.99     275.00     404.09
    295.32     262.50     385.95
    230.04     200.00     294.40
    184.68     150.00     221.09
    112.50      87.50     129.23
     74.43      50.00      74.08
     74.57      62.50      92.48
     94.88      75.00     110.90
     95.06      75.00     110.93
     97.36     100.00     147.75
    136.38     137.50     203.02
    147.09     150.00     221.50
    118.82     125.00     184.75
    125.43     125.00     184.83
    151.03     162.50     240.23
    145.82     150.00     221.98
    156.65     162.50     240.49
    143.74     150.00     221.98
    191.05     187.50     277.53
    194.25     200.00     296.15
    238.39     225.00     333.36
    220.30     212.50     315.07
    233.76     225.00     333.65
    225.41     225.00     333.69
    242.42     237.50     352.50
    252.68     250.00     371.26
    283.64     275.00     408.34
    283.64     262.50     389.84
    346.52     337.50     501.09
    389.19     387.50     575.18
    456.73     450.00     667.80
    348.07     350.00     519.46
    308.92     300.00     445.18
    360.53     350.00     519.35
    353.09     337.50     501.09
    519.51     525.00     779.10
    491.56     487.50     723.88
    509.85     500.00     742.83
    509.43     500.00     743.14
    497.78     500.00     743.06
    504.05     500.00     742.99
    484.41     475.00     705.71
    355.67     350.00     520.02
    336.22     325.00     482.34
    348.02     337.50     500.60
    346.74     337.50     500.39
    310.39     312.50     463.16
    239.73     237.50     352.04
    209.04     200.00     296.51
    182.30     187.50     277.83
     99.01     100.00     148.37
     78.20      87.50     129.93
     52.85      62.50      92.94
      4.66      12.50      18.98
      0.50      12.50      18.97
     23.16      37.50      55.88
     47.83      62.50      92.76
     53.85      62.50      92.73
    107.31     112.50     166.46
    177.66     175.00     258.61
    224.06     225.00     332.39
    255.36     250.00     369.23
    288.79     275.00     406.06
    267.79     262.50     387.62
    233.51     237.50     350.64
    168.27     162.50     240.02
    130.04     137.50     202.97
     99.19      87.50     129.33
     62.81      62.50      92.52
     64.44      50.00      74.08
     74.57      62.50      92.48
     40.46      25.00      37.30
     28.44      12.50      18.90
     40.50      25.00      37.30
     60.50      50.00      74.09
     78.66      62.50      92.49
     64.63      50.00      74.10
     58.67      50.00      74.11
     84.92      75.00     110.92
     72.86      62.50      92.52
     60.80      62.50      92.52
     14.57      37.50      55.73
     14.61      25.00      37.33
     40.94      62.50      92.58
     47.33      50.00      74.23
    184.55     187.50     277.14
    246.18     250.00     369.43
    261.25     262.50     387.92
    217.24     212.50     314.23
    131.16     125.00     185.08
     95.72     100.00     148.17
     83.06      87.50     129.68
     62.24      62.50      92.76
     41.26      50.00      74.24
      6.55      12.50      18.92
      0.50      12.50      18.91
      0.50      12.50      18.91
      0.50      12.50      18.91
      0.50      12.50      18.90
      0.50      25.00      37.31
      0.50      25.00      37.29
      0.50      25.00      37.28
      0.50      25.00      37.27
      4.46      12.50      18.89
     36.21      12.50      18.89
     74.65      50.00      74.10
    133.95     137.50     202.95
    177.98     175.00     258.33
    223.84     225.00     332.36
    241.31     237.50     351.25
    253.70     250.00     369.99
    248.07     237.50     351.67
    226.06     225.00     333.08
    166.74     175.00     258.86
    123.86     137.50     203.32
     90.00     100.00     147.88
     87.70     100.00     147.83
     71.20      87.50     129.37
     60.92      75.00     110.94
    101.20      87.50     129.33
    153.41     125.00     184.47
    211.76     175.00     257.94
    264.07     237.50     349.70
    271.58     237.50     349.62
    281.06     250.00     367.87
    284.22     250.00     367.75
    378.12     337.50     495.92
    419.66     387.50     569.00
    451.14     412.50     605.48
    483.53     462.50     678.59
    437.19     412.50     605.48
    332.16     300.00     440.73
    472.03     450.00     660.41
    499.00     475.00     697.07
    478.98     462.50     678.81
    450.05     425.00     623.88
    443.17     412.50     605.48
    454.68     425.00     623.68
    481.60     462.50     678.30
    490.05     462.50     678.08
    457.42     425.00     623.21
    422.51     387.50     568.26
    338.31     312.50     458.47
    292.24     250.00     366.96
    321.28     275.00     403.47
    352.94     312.50     458.32
    365.90     337.50     494.73
    371.38     350.00     512.93
